Content,General Category,Specific Category,
"Cognitive dysfunction represents a core deficit in schizophrenia, and a number of studies (Green, 1996; Green et al., 2000) illustrate how cognitive deficits may strongly influence the clinical presentation and daily functioning of people with this illness. Cognitive therapy based on the concept that the way we think about things affects how we feel emotionally. Cognitive restructuring (CR) can be thought as if an umbrella term for a variety of cognitive-based approaches aimed at reducing negative automatic thoughts and ameliorating maladaptive schemas. Present study is aimed to reduce cognitive errors and improved attribution style in the patients with schizophrenia using cognitive restructuring therapy. Method: Selected Five (5) patient having Schizophrenia according to ICD-10 DCR from different inpatient department from Tertiary mental health care setup were analysed using the simple random sampling technique. After taking informed consent from the patient, socio-demographic and Attribution Style Questionnaire and Cognitive Error Questionnaire were administered. All the five patients were assessed in pre-level and then after intervention of 18 sessions, they were assessed at post-level. Data was analyzed with the help of Wilcoxon signed rank test was used for statistical analysis. Result & Discussion: Results showed the significant differences in all the domains ofAttribution Style Questionnaire and Cognitive Error Questionnaire, in pre & post assessment at significant level of 0.01. In the study, it was found that application of cognitive restructuring therapy in the cases of schizophrenia has some effect in resolving cognitive error areas such as; catastrophization, over genralisation, personalisation and selective-abstraction as well improvement in their attribution style in areas such as; intemality, stability and globality at bed as well good situation. Though mixed results in cases shows attribution style of the participants changed from the previous understanding due to use of cognitive restructuring therapy.",non-technical,-,
"Education is one of the key pillars that foster social and economic developments in both developed and third world countries. Adult education signifies any form of learning undertaken by men and women who are no longer involved in formal education and who improve themselves by increasing their knowledge, skills and attitudes through organized activities in a non-formal set up. This programme is especially made for them so that they can get knowledge at any stage of life. Basic Adult Education (BAE) was established in 1979 with the aim of eradicating illiteracy and paving way for economic development. However, the road to success in implementation of BAE has been met by many challenges pedagogical issues cited as one of the major road blocks. The purpose of this study was to investigate the extent to which teaching methods affect implementation of BAE in Mumias District of Kakamega County. The descriptive survey design was applied in the study. A sample of 32 purposely selected adult teachers and 553 learners selected through stratified sampling was surveyed through questionnaires for both qualitative and quantitative data which were analyzed and presented in tables of frequencies, percentages and figures. Key findings revealed that although there was a curriculum supported by teachers and learning resources, teaching methods used did not factor the age of the learners and their mastery ability. Practical oriented materials were not available forcing teachers to rely heavily on traditional method of content delivery. The study was significant in so far as it added value to BAE by availing useful data for improvement of quality standards towards realization of objectives of adult education. It was recommended that BAE teachers through the Ministry of Education should be inducted on effective methods of content delivery that will enable adults meet their objectives in their learning centers.
",non-technical,-,
"Fallopian tube malignancies have been presumed to rare incidence with dismal prognosis. However, recent data suggest that the true incidence of PFTC has been substantially underestimated. Early diagnosis of fallopian tube cancer seems di cult. The routes of metastasis of fallopian tube carcinoma are similar to those of ovarian cancer. Genetic factors are relatively important risk factors for tubal cancer. Poly ADP -ribose polymerase inhibitor is used for BRCA-mutant PFTC. In this artical, we use a rare case of navel metastatic tumor which  nally be con rmed that it is originated from fallopian tube to discovered the hereditary factors through genetic testing, and reported this case to provide preventive intervention for the next generation of eugenics and incidence",non-technical,-,
"This research discusses part of the science of morphology, namely morpheme. Where even though morphemes are the smallest parts of words, they are divided into two types, namely free morphemes and bound morphemes. Free morphemes are broken down into two types, namely lexical morphemes and function morphemes, bound morphemes are divided into two, namely morpheme derivation and morpheme inflection, bound morphemes also have class divisions, class changing and class maintenance. This research is qualitative research. In this research, the researcher only analyzed bound morphemes. Data research was used to analyze existing morphemes, namely using the film LEO by David Wachtenheim as the object of this research. This film was directed by David Wachtenheim and was published in November 2023. In collecting data, researchers found many morphemes used in the film, so the morpheme analysis used in the title of this thesis is very appropriate to the object of the research carried out. The results of the findings from this research, researchers found that the dominant or most frequently found morphemes in this short story were inflectional morphemes. And the results of the morpheme findings obtained by researchers from the film LEO contained thirty-nine (39) words of the inflectional morpheme type, and there were ten (10) words of the derivational morpheme type. and there are six (6) class changing words, and there are five (5) class changingwords.",non-technical,-,
"Driver behavior has a major role in many of the unpleasant things that happen when driving, such as crashes or accidents, heavy traffic, abrupt braking, and acceleration and deceleration. Numerous investigations have been carried out to look into the variables influencing driving behavior. To offer a thorough analysis and classify these findings according to a logical classification, further research is required. The goal of this systematic review is to enhance knowledge about the variables influencing driving behavior. A taxonomy on the subject of driver behavior in various ITS domains and their categories was also produced by this work.A systematic review of the literature was performed in accordance with PRISMA (Preferred Reporting Items for Systematic Reviews andMeta-Analyses) guidelines to gain insight into driver behaviour recognition. Specifically, IEEE Explore, ScienceDirect and Springer databases were searched to identify any relevant articles with a focus on ""driver behavior,"" ""driver style,"" ""driver pattern,"" ""driver simulator,"" and""visual attention,” from 2008 to 2021 (15 April).Several filtering and scanning procedures were performed on all 606 retrieved articles in compliance with the exclusion/inclusion criteria; nonetheless, only 50 articles met therequirements. The criteria-compliant references were examined and evaluated. Furthermore, every piece that was included was classified using a taxonomy. The four categories created by the taxonomy are review, experiment, framework, and other study types. To illustrate the main gaps in the literature regarding the identification of driving behavior, a discussion and analysis were presented. This thorough analysis has highlighted the issues and reasons while also pointing forth fresh research directions",non-technical,-,
"Now available in paperback for the first time this edition of the World Encyclopedia of Contemporary Theatre series examines theatrical developments in Africa since 1945. Entries on thirty-two African countries are featured in this volume, preceded by specialist introductory essays on Anglophone Africa, Francophone Africa, History and Culture, Cosmology, Music, Dance, Theatre for Young Audiences and Puppetry. There are also special introductory general essays on African theatre written by Nobel Prize Laureate Wole Soyinka and the outstanding Congolese playwright, Sony Labou Tansi, before his untimely death in 1995. More up-to-date and more wide-ranging than any other publication, this is undoubtedly a major ground-breaking survey of contemporary African theatre.",non-technical,-,
"Background and aims
At present, it is difficult and risky to diagnose splenic lesions by conventional needle biopsy using computed tomography (CT) or ultrasound (US). Endoscopic ultrasound (EUS)-guided tissue acquisition is increasingly being used as a new technique to determine the tissue diagnosis of splenic lesions. Therefore, our goal was to determine the efficacy and safety of EUS-guided tissue acquisition for splenic lesions.
Methods
We performed a systematic review and meta-analysis to evaluate the pooled sensitivity and specificity of EUS-guided tissue acquisition for the diagnosis of splenic lesions using Metadisc. The Quality Assessment of Diagnostic Accuracy Studies Questionnaire, a quality assessment tool, was used to scrutinize the quality of the studies.
Results
Six eligible studies between January 2000 and June 2022 were identified, and a total number of 62 patients (aged range from 19 to 84) were enrolled. One patient was excluded because of insufficient specimens. The pooled sensitivity and specificity of included studies were 0.85 [95% confidence interval (CI), 0.73–0.93] and 0.77 (95% CI, 0.46–0.95), respectively. The pooled positive likelihood ratio (LR) was 2.38 (95% CI, 1.24–4.57), the pooled negative LR was 0.31 (95% CI, 0.17–0.55), the pooled diagnostic odds ratio (DOR) was 8.67 (95% CI, 2.80–26.82), the area under the summary receiver operating characteristic (SROC) curve was 0.8100 (Standard Error 0.0813).
Conclusion
EUS-guided tissue acquisition is a safe technique with high sensitivity in the diagnosis of splenic lesions. However, because of the small sample sizes, more studies with more cases are needed to further validate these results.",non-technical,-,
"Image reconstruction is a key component in many medical imaging modalities. The problem of image reconstruction can be viewed as a special inverse problem where the unknown image pixel intensities are estimated from the observed measurements. Since the measurements are usually noise contaminated, statistical reconstruction methods are preferred. In this paper we review some non-negatively constrained simultaneous iterative algorithms for maximum penalized likelihood reconstructions, where all measurements are used to estimate all pixel intensities in each iteration.",non-technical,-,
"Achieving primary stability of greatest importance, at the time of dental implant placement. A rigid fixation of implant within the host bone, in absence of micromotion is the most critical factor for successful osseointegration. Various methods are reported by the authors over the years, in literature to monitor implant stability, which include, tapping the abutment with a metallic instrument, histomorphometry test, removal torque test, cutting torque test, radiography, periotest, and resonance frequency analysis. Resonance frequency analysis (RFA) is most recent advancement in dentistry which offers a clinical, objective way to measure stability and
 presumed osseointegration of implants. The review focuses on different methods used to assess implant stability and recent advances in this field implant dentistry.",non-technical,-,
"Many clinical trials and experimental studies claim that sham acupuncture is as effective as traditional Chinese acupuncture. However, these studies have no standard sham acupuncture control and many other factors can affect the clinical effect. These factors include needle retention time, treatment frequency, and the total number of treatments needed for satisfactory results, and all can change the clinical effect. The majority of existing acupuncture treatment studies do not consider these factors and lack standard dosage criteria. Therefore, it is still too early to conclude that sham acupuncture is as effective as traditional Chinese acupuncture. This article investigates the factors that influence the curative effect of acupuncture as to help set a standard for acupuncture studies in the future.
",non-technical,-,
"Neural network (NN) based algorithms are used to extract required information after processing of signals by learning or training and activation function. It is used for increasing the processing speed, response, convergence, robustness, accuracy, precision, tracking ability, adaptive ability, steady-state and transient stabilities etc. Due to improved performance, neural network based control have created much attention in electrical engineering including power quality. An algorithm based on load conductance estimation using NN is implemented on a three phase DSTATCOM for mitigation of power quality problems such as load balancing, reactive power compensation, harmonics elimination and neutral current compensation in a four wire distribution system. Main objectives of neural network application in DSTATCOM (Distribution Static Compensator) are to enhance the efficiency, robustness, tracking capability according to requirements. A control algorithm based on load conductance estimation using the neural network is implemented for DSTATCOM in a four wire distribution system.
Key words: Neural Network, DSTATCOM, Conductance, load balancing, power factor correction (PFC), Harmonics, Zero Voltage Regulation(ZVR).",non-technical,-,
"Cloud computing has gained lots of popularity in recent times as it fulfil the dream model “Computing as Utility”, it emerged in the market as huge technological growth in the form of on-demand service for business customers such as software, platform and infrastructure needs and requirements. The model as “pay as you go” help companies in IT growth without much planning as everything is on pay-based model. Despite all the factors and scalable infrastructure of cloud network, there are less concern and cautions about the security issues pertain to cloud computing. Cloud computing can be taken as most significant shift in IT paradigm of recent times but still there are great deal of work is required in the area of security to handle the attack spreading and polluting the cloud infrastructure. In this paper, the security issues by gathering the attack data in the cloud network by designing, implementing the honeypot as cyber attack mitigation solution is presented. The concept is to design a cloud setup and assess the security issues by putting the honeypot in the cloud environment. This artical include the honeypot implementation along with Intrusion detection system using a Ubuntu based OwnCloud utility. The real statistical data collected, analysed and categorized in a automatic way through novel signatures based engines.",non-technical,-,
"This article may be summed up as ethnography of soniwal, a community of gold-washers found along the upper river Indus. It contains an account of the economy and society of the soniwal. It includes the documentation of the gold-washing processes and the tools. It also includes a historical account of gold-acquiring and gold-washing in this area. Further it compares gold-acquiring techniques with other regions of the world. An important question that is discussed in this paper is about the dark future of this profession here. The first threat to this profession was its being considered unholy (having no barakah or unblessed) by the locals. The construction of Bhasha-dam has become now a real threat to the existence of this profession. The construction of Bhash-dam will not only sink their many villages, it will further bring under water all the sites where they wash gold. The problem is not only that they will loose houses and working places (livelihood). They will hardly be entitled to any compensation because they are not considered indigenous by others population groups living here. This article proves with the help of historical literature that gold-washing is one of the oldest known professions in this area. Those who were involved in the washing of the gold cannot be and are not new in the area. Finally there has been a lot of social change and development going on in this area since the completion of the Karakorum Highway. It has been analyzed how this has affected the area and the people.",non-technical,-,
"Purpose
This paper examines the application of 3D printing technology in the endoscopic endonasal approach for the treatment of macroadenomas.
Methods
We have retrospectively analysed 20 patients who diagnosed with macroadenoma underwent endoscopic transsphenoidal surgery in Wuhan Union hospital from January 2017 to May 2017. Among the 20 patients, 10 patients received the service of 3D printing technology preoperatively. The data of 3D processing and clinical result were recorded for further evaluation.
Results
The 10 patients who received the service had a successful 3D printed model of their tumors, it shows the anatomy of sphenoid sinus, tumor location which were in good agreement with our intraoperative observations. The 10 patients who received the service had a less operation time (127.0 ± 15.53 vs. 143.40 ± 17.89), blood loss (159.90 ± 12.31 vs. 170.00 ± 29.06) and less postoperative complication rate (20% vs. 40%). the design time of the 3D images varies 2 h 10 min to 4 h 32 min. the printing time of the 3D models varies 10 h 12 min to 22 h 34 min.
Conclusions
The use of 3D printing technology has unquestionable potential applications to endoscopic endonasal approach for macroadenomas, in particular reflecting the complicated anatomy of sphenoid sinus and tumor location. Owing to the advantages of 3D printing technology, it may help the patients get a good prognosis.
",non-technical,-,
"During the past decades, there has been an extensive attention in using Ultra-High Performance Concrete (UHPC) in the buildings and infrastructures construction. Due to that, defining comprehensive mechanical properties of UHPC required to design structural members is worthwhile. The main difference of UHPC with the conventional concrete is the very high strength of UHPC, resulting designing elements with less weight and smaller sizes. However, there have been no globally accepted UHPC properties to be implemented in the designing process. Therefore, in the current study, the UHPC mechanical properties such as compressive and tensile strength, modulus of elasticity and development length for designing purposes are provided based on the reviewed literature. According to that, the best-recommended properties of UHPC that can be used in designing of UHPC members are summarized. Finally, different topics for future works and researches on UHPC’s mechanical properties are suggested",non-technical,-,
"The accelerated development of network technology and internet applications has increased the significance of protecting digital data and images from unauthorized access and manipulation. The secret image-sharing network (SIS) is a crucial technique used to protect private digital photos from illegal editing and copying. SIS can be classified into two types: single-secret sharing (SSS) and multi-secret sharing (MSS). In SSS, a single secret image is divided into multiple shares, while in MSS, multiple secret images are divided into multiple shares. Both SSS and MSS ensure that the original secret images cannot be reconstructed without the correct combination of shares. Therefore, several secret image-sharing methods have been developed depending on these two methods for example visual cryptography, steganography, discrete wavelet transform, watermarking, and threshold. All of these techniques are capable of randomly dividing the secret image into a large number of shares, each of which cannot provide any information to the intrusion team. This study examined various visual secret-sharing schemes as unique examples of participant secret-sharing methods. Several structures that generalize and enhance VSS were also discussed in this study on covert image-sharing protocols and also this research also gives a comparative analysis of several methods based on various attributes in order to better concentrate on the future directions of the secret image. Generally speaking, the image quality generated employing developed methodologies is preferable to the image quality achieved through using the traditional visual secret-sharing methodology.",non-technical,-,
"In this paper current developments in the FDI theory are reviewed. Attention is focused upon the analytical approaches that make use of quantitative models, knowledge based approaches using qualitative models as well as approaches using computational intelligence techniques. Besides the description of different fault diagnosis methods, a number of prospective research topics are outlined.
",non-technical,-,
"Background: The vascular endothelial growth factor (VEGF) mediates vasculogenesis and angiogenesisthrough promoting endothelial cell growth, migration and mitosis, and has involvement in cancer pathogenesis,progression and metastasis. However, the prognostic value of VEGF in patients with prostate cancer remainscontroversial. 
Objectives: The aim of our study was to evaluate the prognostic value of VEGF in prostate cancer,and summarise the results of related research on VEGF. 
Methods: In accordance with an established searchstrategy, 11 studies with 1,529 patients were included in our meta-analysis. The correlation of VEGF-expressionwith overall survival and progression-free survival was evaluated by hazard ratio, either given or calculated.
Results: The studies were categorized by introduction of the author, demographic data in each study, prostatecancer-relatived information, VEGF cut-off value, VEGF subtype, methods of hazard ratio (HR) estimationand its 95% confidence interval (CI). High VEGF-expression in prostate cancer is a poor prognostic factor withstatistical significance for OS (HR=2.32, 95%CI: 1.40–3.24). However, high VEGF-expression showed no effecton poor PFS (HR=1.30, 95%CI: 0.88–1.72). Using Begg’s, Egger’s test and funnel plots, we confirmed lack ofpublication bias in our analysis. 
Conclusion: VEGF might be regarded as a prognostic maker for prostate cancer,as supported by our meta-analysis. To achieve a more definitive conclusion enabling the clinical use of VEGF inprostate cancer, we need more high-quality interventional original studies following agreed research approachesor standards.",non-technical,-,
"bstract Background: As the spinal cord is responsible for conducting afferent and efferent stimuli between the periphery and the brain, when this organ is injured, organic structures and functions are compromised, resulting in limitations to perform Activities of Daily Living (ADLs). Sports participation as a leisure could have substantial benefits on the physical and psychosocial well-being of people with SCI. Objective: The objectives were to identify the perception about sports as a leisure activity, to identify the preference of leisure activity as an inclusive sport, to recognize new idea from service user about inclusive sports. Methodology: This study was a conducted by using qualitative content analysis approach of phenomenological qualitative research design to collect in-depth information of participants‟ perception. Participants were selected by using convenient sampling. Data was collected using face to face interview with a semi-structured questionnaire. Data was analyzed by using content analysis. The Researcher was study completed in Spinal cord injury Unit at Centre for the Rehabilitation of the Paralyzed (CRP), Savar, Dhaka. Sample of this study was Persons who has the SCI at CRP inpatient unit and also involve their leisure activity like as sports activity. Researcher was selected people with SCI patient by the use of random selection procedure. For this type of study the sample size was ten who met the inclusion criteria was selected. Result and Discussion: After analyzing data, it was founded that in CRP inpatient unit; most of the SCI patient understood about sports and most of the participant are satisfactorily to involve this kind of leisure activity. They also added some recommendations. Most of the participants wish that to include some different type of leisure activity. Some of the participant opinion about the purpose of inclusive sports as a leisure activity in CRP is to improve physical balance, give inspiration, therapeutic purpose, refreshment and social participation etc. Conclusion: The results of this study was indicate that participation in sports as a leisure activity after SCI is associated with increased community integration; reduce depression and quality of life. Participation in inclusive sports should be recognized as an adjunct to current SCI rehabilitation programs, with the potential to contribute to improved rehabilitation outcomes.",non-technical,-,
"Purpose
Objective is to investigate the effects of COVID-19 on the performance and productivity of infodemic research. A comprehensive bibliometric analysis is conducted using data extracted from Thomson Reuters' Web of Science, and the analysis is facilitated by the bibliometrix and biblioshiny tools",non-technical,-,
"Background
The effectiveness of platelet concentrates in promoting root development of necrotic immature permanent teeth is unclear. The present study evaluated whether the platelet concentrate protocol was superior to the traditional blood clot protocol in regeneration therapy.
Methods
We searched Electronic databases, such as PubMed, Cochrane Library, ClinicalTrials and EMBASE. Randomized controlled trial studies, cohort studies, case-control studies and cross-sectional studies were included, in which platelet-rich concentrates were tested for periapical healing and root development, with the blood clot treatment protocol as the control group. Clinical and radiographic outcomes were considered. Selected articles were assessed for risk of bias. Pooled risk ratios (risk ratio, RR) were calculated for clinical success, responses to cold and electric pulp tests, periapical lesions, apex closure, root lengthening, and thickening of the dentin walls. Subgroup meta-analysis were conducted according to the type of platelet concentrate used.
Results
Of the 1272 screened studies, 13 randomized controlled studies, 2 case-control studies and 1 cohort study were selected, in which 465 immature necrotic permanent teeth, particularly incisors and premolars, were treated. Of these 465 teeth, 457 (98.2%) in both the control and experimental groups remained clinically asymptomatic for the entire study duration, whereas eight (1.8%) showed signs and symptoms of failure, including spontaneous pain, sensitivity to percussion or reinfection. Compared with control teeth, teeth treated with PRP achieved better apical healing than BC group (RR 1.13, 95% CI 1.01–1.26, P = 0.03), and teeth treated with platelet concentrates showed improved apical closure (RR 1.04, 95% CI 0.86–1.25, P = 0.69), root lengthening (RR 1.01, 95% CI 0.74–1.39, P = 0.93), and thickening of the dentin walls (RR 1.35, 95% CI 0.95–1.93, P = 0.09), although these differences were not statistically significant.
Conclusions
Platelet concentrates can be used as successful scaffolds for regenerative endodontic treatment of necrotic immature permanent teeth, and PRP as a scaffold may achieve better periapical healing of teeth with periapical inflammation, although they did not differ significantly from conventional blood clot scaffolds in development of the root.",non-technical,-,
"This research discusses part of the science of morphology, namely morpheme. Where even though morphemes are the smallest parts of words, they are divided into two types, namely free morphemes and bound morphemes. Free morphemes are broken down into two types, namely lexical morphemes and function morphemes, bound morphemes are divided into two, namely morpheme derivation and morpheme inflection, bound morphemes also have class divisions, class changing and class maintenance. This research is qualitative research. In this research, the researcher only analyzed bound morphemes. Data research was used to analyze existing morphemes, namely using the film LEO by David Wachtenheim as the object of this research. This film was directed by David Wachtenheim and was published in November 2023. In collecting data, researchers found many morphemes used in the film, so the morpheme analysis used in the title of this thesis is very appropriate to the object of the research carried out. The results of the findings from this research, researchers found that the dominant or most frequently found morphemes in this short story were inflectional morphemes. And the results of the morpheme findings obtained by researchers from the film LEO contained thirty-nine (39) words of the inflectional morpheme type, and there were ten (10) words of the derivational morpheme type. and there are six (6) class changing words, and there are five (5) class changingwords.",non-technical,-,
"Objective. Multi-phase computed tomography (CT) has become a leading modality for identifying hepatic tumors. Nevertheless, the presence of misalignment in the images of different phases poses a challenge in accurately identifying and analyzing the patient's anatomy. Conventional registration methods typically concentrate on either intensity-based features or landmark-based features in isolation, so imposing limitations on the accuracy of the registration process. Method. We establish a nonrigid cycle-registration network that leverages semi-supervised learning techniques, wherein a point distance term based on Euclidean distance between registered landmark points is introduced into the loss function. Additionally, a cross-distillation strategy is proposed in network training to further improve registration performance which incorporates response-based knowledge concerning the distances between feature points. Results. We conducted experiments using multi-centered liver CT datasets to evaluate the performance of the proposed method. The results demonstrate that our method outperforms baseline methods in terms of target registration error. Additionally, Dice scores of the warped tumor masks were calculated. Our method consistently achieved the highest scores among all the comparing methods. Specifically, it achieved scores of 82.9% and 82.5% in the hepatocellular carcinoma and the intrahepatic cholangiocarcinoma dataset, respectively. Significance. The superior registration performance indicates its potential to serve as an important tool in hepatic tumor identification and analysis.",non-technical,-,
"Maharashtra handicrafts are rich in variety and selection. Maharashtra handicraft industry produces many unique and interesting crafts of Maharashtra that are used in daily needs. Given the fact that the population of Maharashtra is the second highest in the nation, the diversity in the state and its affairs of cuisines, customs traditions and handicrafts is natural. The state of Maharashtra has a huge and rich culture of Handicrafts. Apart from that, the state beholds an array of visual and audio delight for the tourists to cherish. Certain cities like that of Pune, Nasik, Kolhapur, Aurangabad, Ajanta Ellora Mumbai and Nagpur are the ones that boast of utmost tourist value. Apart from these, the state also boasts of a very rich and varied culture of Handicraft which is evident from the rich value that they add to the nation’s creative wealth. The availability of Handicrafts and its diversity in Maharashtra is huge. Their tradition is lent to them by the Mughals, the Marathas and even by the British. The true culture of Maharashtra can be identified with its exaggerated handicrafts. Some of the standout works in the state of Maharashtra includes the famous Sawantwadi work, leather works, Bidri works, weaving, Himru and Mashru, Jewelry, Paintings and much more. They not only highlight the creative spirit of the state but also show their sense of art and design. The handicrafts of the state are also a true representation of the lively spirit of the state. The most exciting gift of the state is the handicrafts of this place. They not only cater to the eyes but also render a heart a soothing touch that the tourists take back home lively. One of the standout craft in this state is the Sawantwadi state. The weaving culture of the state is very evident and is famed across the nation and even globally. These entire products merge together to make a front of creativity that the state beholds of.",non-technical,-,
"In developing countries, urbanisation has been synonymous with industrialisation where the growth of industries offer job opportunities and incentives for economic development, urban settlements and rapid housing expansions. In Malaysia the lack of awareness compliance of buffer zone implementation for urban development of the housing may have to nestle within industrial establishment. Industrial activities often cause environmental problems such as excessive noise levels and poor air quality, which is turn affect the natural environment, health and comforts of life in the residential-industrial neighbourhood. This paper reports the findings regarding the buffer zone implementation in residential-industrial neighbourhood. This paper reviews the comparison data of noise level measurement in the residential area with and without buffer zone. The experimental method is carried out to measure the noise level in the residential area which is having buffer zone and without buffer zone. The data will analysis by using the Microsoft Excel to get the average of noise produced. It responds to the lack of environmental policies for housing development in residential- industrial areas in Malaysia. The ongoing development of this research will eventually lead to increase the awareness among the construction industry players for promoting the use of buffer zone implementation guidelines in these residential areas.",non-technical,-,
"In current time, there are different techniques used to create 3D models of soil surface such photogrammetric and Laser scanning techniques. Although, these techniques are efficient for capturing 3D soil models of a small area, they will be inefficient with increasing the captured area because of the increase in the cost and in the processing time. Thus, in this study an economic, fast, efficient videogrammetric system is developed for capturing 3D soil models. The new system consists of two mobile cameras and LED lights. The system is fixed on a car and used for capturing stereo video clips of soil surfaces of the selected study area when the car was moving. Stereo images are extracted from stereo video clips with the assistance of LED lights that was used for synchronization. A Agisoft Metashape software is used to create 3D models of soil surface based on stereo images. The results show that the accuracy of the produced 3D Models is within (RMSExyz = ± 10 cm). In conclusion, the developed videogrammeric system can provide a precise, fast and low-cost 3D model of soil surface.",non-technical,-,
"The dispersion and loss characteristics of groove guide with arbitrary shapes are analyzed with high-order finite element method. The effectiveness and the reliablity of the method are verified by the experiments and the results obtained by other methods. Groove guides with various groove shapes, such as rectangular, triangular, parabolic, elliptic and cosine functions, are investigated systematically. The calculating results show that the dispersion of groove guide with different groove shape is almost the same, however, the loss characteristics is rather different; among them, V-shape groove guide has the lowest loss which is about half of the rectangular one. All the curves and the data given in this paper can be used in designing elements and circuits of the groove guide.",non-technical,-,
"Front Office is directly connected with the performance of the hotel. Revenue
 1
Management is a serious concept that is
designed to maximise revenue for a hotel
 property. Lots of points are there to be considered under revenue management
 such as number of rooms to be blocked, rooms for walk in guest, discount offered,
 days of advance reservation, week days or
 week end business and of course up selling
 too.
The purpose of the study is to explore contributory role of upselling in improved guest experience and an ethical sales
 tactic. The secondary data from various sources like published journals,
 magazines, on-line resources, interviews and cases will be used for this particular
 study.
Upselling is Front office business and
2
 very important for hotels in recent time of recession, rate cuttings, and competition
 next door-all that makes upselling even more important for the hotel. The upselling
 has changed its ways too since technology
 is making difference the ways guests are
 booking their rooms. The paper deals the upselling and role of Front office in
 upselling.",non-technical,-,
"Information retrieval (IR) is the field of computer science that deals with the processing of documents containing free text, so that they can be rapidly retrieved based on keywords specified in a user's query. IR was born in the 1950s out of necessity to find useful information from large collections. Over the last sixty years, the field has matured considerably. IR technology is the basis of Web-based search engines, and plays a vital role in research, because it is the foundation of software that supports literature search. Several IR systems are used on an everyday basis by a wide variety of users. This article is a brief overview of Information Retrieval.",non-technical,-,
"The purpose of this thesis was to explore what kind of confidence nursing degree students obtain about prevention of hospital-acquired infections caused by bacterial pathogens. The objective of this study was to raise nursing degree students’ awareness on self-protection and self-prevention of hospital-acquired infections during practical training and at work after graduation. The research question in this study was: what measures do nursing students need to take into account in regards to hospital-acquired infection prevention? 

The knowledge base was included three precise principal data resources, such as THL, WHO, PMID, to build the theoretical framework. The method applied for this study was quantitative research method, following by the conduction of a survey. The survey was given to the certain group of students from Laurea. 

The main results of this study were to evaluate Laurea UAS’s nursing degree students’ own knowledge and comprehensive understanding about the preventive measurement of hospital-acquired infections. Based on the results, the further outcome of this study was to provide a newest guide of self-prevention for nursing degree students. To be more specific, the guide was created as an informative and picturable poster, which contains all recommendations required for prevention of getting infection. 

The analysis of the results demonstrated that approximately 80% of Laurea UAS’s nursing degree students had been provided adequate knowledge about bacterial hospital-acquired infections during practice at healthcare facilities. More importantly, 50 out of 51 respondents have had the adequate level of confidence on performing hand hygiene appropriately equal or more than 50%. Besides that, there are some barriers that hinder students from performing hand hygiene and asepsis adequately. About half of nursing degree respondents had chosen ‘they forget doing it’ as their answers. 

In conclusion, the figures from this study’s findings generally showed that nursing degree students had deeply educated about the essentiality of infection prevention at Laurea UAS and at practice placement. Recommendations of this study are that it is strongly believed hand hygiene and asepsis play a vital role in healthcare professionals’ career. For this reason, nursing degree students are necessarily provided information about hygiene-performing procedures promptly when they are freshmen. Additionally, authors’ recommendation for further researches are that this study’s topic-related and the poster about hand hygiene guideline will be made in Finnish in the future. Therefore, the results will be not only applied for nursing degree program in English but also in Finnish. ",non-technical,-,
"The problem of improving quality of higher education arose long ago. Many higher education institutions have been working at this issue since last century, developing innovative ways to improve quality of education. Since today’s approaches and spheres of assessment are different, the solution to the problem is rather complicated. After Russia’s joining the Bologna process, quality of higher education became rather a pointed question. Participation in the process does not imply obligatory standardization of higher education, but it shows intention to compare higher education in different countries. Comparability of educational systems is based both on actions linked to changes of higher education structure (introduction of two- level education, credit system, etc.) and measures defining education quality (quality control, using new education standards, introducing innovative methods of students’ preparation and Learning Management System). This article considers the way to improve higher education quality via innovative teaching methods. Besides, the article introduces an overview of active and interactive teaching methods, integrative teaching approaches, examples of their implementation when teaching business subjects, and some statistics of using the methods described.",non-technical,-,
"This study summarizes gas flow process in unconventional porous rocks, including the transportation in tight or shale reservoirs and the spontaneous imbibition happened in them. Fluids flow is greatly affected by the pore structure together with the pore size distribution of porous media. The MRI and BET measurement show peaks in pore throat radius ranging from 2 to 20 nm, whereas the diameter for methane and helium are 0.38 and 0.26 nm, respectively. Yet for different types of reservoir, distinct mechanisms should be utilized based on the flow regimes. Besides, experimental measurement techniques for conventional reservoirs are no long accurate enough for most of the unconventional reservoirs. New attempts have been implemented to obtain more valuable data for accurate reservoir prediction. By reviewing large numbers of articles, a clear and comprehensive map on the gas flow and recovery in unconventional reservoirs is made. Factors influencing the gas flow and recovery are investigated in detail for mathematical simulation process. Reservoir conditions and the sweep efficiency play an important role during gas production process. Besides, adsorbed gas contributes a lot to the total gas recovery. The overall investigations suggest that many parameters that influence the gas flow in unconventional porous rocks should be taken into consideration during the evaluation. Among them, permeability, adsorbed gas dynamics, stimulated reservoir volume as well as the unstimulated reservoir volume, and imbibition effect are the most important ones. This study provides valuable data and reasonable exploitations for characterizing gas flow and recovery in unconventional porous rocks.",non-technical,-,
